"Болезнь","Меры предосторожности_1","Меры предосторожности_2","Меры предосторожности_3","Меры предосторожности_4"
"Реакция на лекарство","остановить раздражение","проконсультируйтесь в ближайшей больнице","прекратить принимать наркотики","следовать за"
"Малярия","Проконсультируйтесь в ближайшей больнице","избегайте жирной пищи","избегайте невегетарианской пищи","держать комаров подальше"
"Аллергия","нанести каламин","покрыть область повязкой","","используйте лед, чтобы сжать зуд"
"Гипотиреоз","снизить стресс","упражнение","здоровое питание","выспаться как следует"
"Псориаз","вымыть руки теплой мыльной водой","остановить кровотечение с помощью давления","проконсультироваться с врачом","соляные ванны"
"ГЭРБ","избегайте жирной острой пищи","не ложиться после еды","поддерживать здоровый вес","упражнение"
"Хронический холестаз","холодные ванны","лекарство от зуда","проконсультироваться с врачом","здоровое питание"
"гепатит А","Проконсультируйтесь в ближайшей больнице","мыть руки через","избегайте жирной острой пищи","медикамент"
"Остеоартрис","ацетаминофен","проконсультируйтесь в ближайшей больнице","следовать за","соляные ванны"
"(головокружение) Пароймсальное позиционное головокружение","лечь","избегать резких изменений в теле","избегать резких движений головой","расслабляться"
"Гипогликемия","лечь на бок","проверить пульс","пить сладкие напитки","проконсультироваться с врачом"
"Акне","принять ванну дважды","избегайте жирной острой пищи","пить много воды","избегайте слишком большого количества продуктов"
"Диабет","есть сбалансированное питание","упражнение","проконсультироваться с врачом","следовать за"
"Импетиго","замочите пораженный участок в теплой воде","использовать антибиотики","удалить струпья влажной сжатой тканью","проконсультироваться с врачом"
"Гипертония","медитация","соляные ванны","снизить стресс","выспаться как следует"
"Язвенная болезнь желудка","избегайте жирной острой пищи","употреблять пробиотическую пищу","исключить молоко","ограничить алкоголь"
"Диморфные геморроидальные узлы (сваи)","избегайте жирной острой пищи","употреблять гамамелис","теплая ванна с английской солью","пейте сок аловера"
"Простуда","пейте напитки, богатые витамином С","париться","избегайте холодной еды","держать температуру под контролем"
"Ветряная оспа","использовать ним при купании","потреблять листья нима","принять вакцину","избегайте общественных мест"
"Шейный спондилез","используйте грелку или холодный компресс","упражнение","принять обезболивающее","проконсультироваться с врачом"
"Гипертиреоз","здоровое питание","массаж","используйте мелиссу","пройти курс лечения радиоактивным йодом"
"Инфекция мочевыводящих путей","пить много воды","увеличить потребление витамина С","пей клюквенный морс","принимайте пробиотики"
"Варикозное расширение вен","лягте ровно и высоко поднимите ногу","использовать мази","использовать компрессию вен","не стойте долго на месте"
"СПИД","избегайте открытых порезов","носите СИЗ, если возможно","проконсультироваться с врачом","следовать за"
"Паралич (кровоизлияние в мозг)","массаж","здоровое питание","упражнение","проконсультироваться с врачом"
"тифозный","ешьте высококалорийные овощи","антибоитическая терапия","проконсультироваться с врачом","медикамент"
"Гепатит Б","проконсультируйтесь в ближайшей больнице","вакцинация","здоровое питание","медикамент"
"Грибковая инфекция","принять ванну дважды","используйте детол или ним в воде для купания","Держите зараженную область сухой","используйте чистые тряпки"
"Гепатит С","Проконсультируйтесь в ближайшей больнице","вакцинация","здоровое питание","медикамент"
"Мигрень","медитация","снизить стресс","пользуйтесь полороидными очками на солнце","проконсультироваться с врачом"
"Бронхиальная астма","перейти на свободную одежду","сделать глубокий вдох","уйти от триггера","искать помощи"
"Алкогольный гепатит","прекратить употребление алкоголя","проконсультироваться с врачом","медикамент","следовать за"
"Желтуха","пить много воды","употреблять расторопшу","ешьте фрукты и пищу с высоким содержанием клетчатки","медикамент"
"Гепатит Е","прекратить употребление алкоголя","отдых","проконсультироваться с врачом","медикамент"
"Денге","пейте сок листьев папайи","избегайте жирной острой пищи","держать комаров подальше","поддерживать водный баланс"
"Гепатит Д","проконсультироваться с врачом","медикамент","здоровое питание","следовать за"
"Острое сердечно-сосудистое заболевание","вызвать скорую помощь","жевать или глотать асприн","сохранять спокойствие",""
"Пневмония","проконсультироваться с врачом","медикамент","отдых","следовать за"
"Артрит","упражнение","используйте горячую и холодную терапию","попробуйте иглоукалывание","массаж"
"Гастроэнтерит","перестаньте на время есть твердую пищу","попробуй пить небольшими глотками воды","отдых","с легкостью вернитесь к еде"
"Туберкулез","прикрыть рот","проконсультироваться с врачом","медикамент","отдых"
